candidate_id,rule_mode,instance,profile,atlas_capacity,initial_seed,atlas_iteration,parent_domain_id,fiber_label,fiber_state_count,n_charts,n_transport_edges,base_chart,cycle_charts,cycle_length,loop_valid,loop_order,loop_nontrivial,loop_c2,loop_map,loop_label_support,failure_reason
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 4 2,3,True,1,False,False,0->0 1->1 3->3 4->4,0 1 3 4,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 5 2,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 5 3,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 0 2 3,4,False,0,False,False,,,composition_domain_mismatch_2_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 0 2 4,4,False,0,False,False,,,composition_domain_mismatch_2_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 0 2 5,4,False,0,False,False,,,composition_domain_mismatch_2_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 0 3 2,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 0 3 5,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 0 4 2,4,False,0,False,False,,,composition_domain_mismatch_0_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 2 0 3,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 2 0 4,4,False,0,False,False,,,composition_domain_mismatch_0_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 2 3 0,4,False,0,False,False,,,composition_domain_mismatch_2_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 2 3 5,4,False,0,False,False,,,composition_domain_mismatch_2_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 2 4 0,4,False,0,False,False,,,composition_domain_mismatch_2_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,1,1 2 5 3,4,False,0,False,False,,,composition_domain_mismatch_2_5
